order,bill_to_name,customer_class,ship_date,part_number,description,license,ordered,shipped,price,extension,standard_cost,category,sub_category,city,state
2024-42395-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/25/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,0.36,-0.36,0.00,Branded,All Branded,HOWELL,NJ
2024-42394-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/25/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,0.16,-0.16,0.00,Branded,All Branded,HOWELL,NJ
2024-42393-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/25/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,0.16,-0.16,0.00,Branded,All Branded,HOWELL,NJ
2024-42392-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/25/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,1.48,-1.48,0.00,Branded,All Branded,HOWELL,NJ
2024-42391-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/25/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,9.11,-9.11,0.00,Branded,All Branded,HOWELL,NJ
2024-42390-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/25/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,5.89,-5.89,0.00,Branded,All Branded,HOWELL,NJ
2024-42043-00,WAKEFERN FOOD CORP.PLAZA 7,GROCERY,8/31/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,431.00,-431.00,0.00,Branded,All Branded,KEASBEY,NJ
2024-42037-00,TARGET DC 0551,GROCERY,8/31/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,102.28,-102.28,0.00,Branded,All Branded,FRIDLEY,MN
2024-42036-00,TARGET DC 0551,GROCERY,8/31/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,"1,872.04","-1,872.04",0.00,Branded,All Branded,FRIDLEY,MN
2024-42034-00,TARGET DC 0551,GROCERY,8/31/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,2.63,-2.63,0.00,Branded,All Branded,FRIDLEY,MN
2024-41993-00,KING KULLEN,GROCERY,8/29/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,1.63,-1.63,0.00,Branded,All Branded,MIDDLE ISLAND,NY
2024-41992-00,KING KULLEN,GROCERY,8/27/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,56.03,-56.03,0.00,Branded,All Branded,HAMPTON BAYS,NY
2024-41989-00,MCLANE COMPANY INC.,C-STORE,8/30/2024,Deals Branded,Deals Branded,N/A,-1.00,-1.00,296.90,-296.90,0.00,Branded,All Branded,FORT WORTH,TX
2024-41940-00,TARGET DC 0551,GROCERY,8/30/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,490.46,-490.46,0.00,Branded,All Branded,FRIDLEY,MN
2024-41800-00,TARGET DC 0551,GROCERY,8/30/2024,Promotions Branded,Promotions Branded,N/A,-1.00,-1.00,21.41,-21.41,0.00,Branded,All Branded,FRIDLEY,MN
2024-41780-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/30/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,113.92,-113.92,0.00,Branded,All Branded,HOWELL,NJ
2024-41773-00,WAKEFERN FOOD CORP.PLAZA 7,GROCERY,8/30/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,355.48,-355.48,0.00,Branded,All Branded,KEASBEY,NJ
2024-41773-00,WAKEFERN FOOD CORP.PLAZA 7,GROCERY,8/30/2024,"Salvage, Stales - Structure Ki","Salvage, Stales - Structure Kits",N/A,-1.00,-1.00,1.84,-1.84,0.00,Structure Kits,All Structure Kits,KEASBEY,NJ
2024-41711-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/29/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,946.90,-946.90,0.00,Branded,All Branded,HOWELL,NJ
2024-41710-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/30/2024,"Salvage, Stales - Structure Ki","Salvage, Stales - Structure Kits",N/A,-1.00,-1.00,398.95,-398.95,0.00,Structure Kits,All Structure Kits,HOWELL,NJ
2024-41709-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/30/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,800.80,-800.80,0.00,Branded,All Branded,HOWELL,NJ
2024-41708-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/30/2024,"Salvage, Stales - Structure Ki","Salvage, Stales - Structure Kits",N/A,-1.00,-1.00,212.52,-212.52,0.00,Structure Kits,All Structure Kits,HOWELL,NJ
2024-41694-00,TARGET DC 0551,GROCERY,8/28/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,33.86,-33.86,0.00,Branded,All Branded,FRIDLEY,MN
2024-41693-00,TARGET DC 0551,GROCERY,8/30/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,5.98,-5.98,0.00,Branded,All Branded,FRIDLEY,MN
2024-41692-00,TARGET DC 0551,GROCERY,8/30/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,15.94,-15.94,0.00,Branded,All Branded,FRIDLEY,MN
2024-41582-00,"MICHAEL'S COMPANIES, INC.",RETAIL,8/23/2024,"Salvage, Stales - Structure Ki","Salvage, Stales - Structure Kits",N/A,-1.00,-1.00,745.75,-745.75,0.00,Structure Kits,All Structure Kits,FORT WORTH,TX
2024-41582-00,"MICHAEL'S COMPANIES, INC.",RETAIL,8/23/2024,Deals Structure Kits,Deals Structure Kits,N/A,-1.00,-1.00,497.16,-497.16,0.00,Structure Kits,All Structure Kits,FORT WORTH,TX
2024-41557-00,KING KULLEN,GROCERY,8/8/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,11.40,-11.40,0.00,Branded,All Branded,MASSAPEQUA PARK,NY
2024-41556-00,KING KULLEN,GROCERY,8/8/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,33.12,-33.12,0.00,Branded,All Branded,BELLMORE,NY
2024-41555-00,KING KULLEN,GROCERY,8/8/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,11.40,-11.40,0.00,Branded,All Branded,WANTAGH,NY
2024-41554-00,KING KULLEN,GROCERY,8/8/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,13.12,-13.12,0.00,Branded,All Branded,LEVITTOWN,NY
2024-41553-00,KING KULLEN,GROCERY,8/8/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,84.54,-84.54,0.00,Branded,All Branded,GARDEN CITY,NY
2024-41552-00,KING KULLEN,GROCERY,8/7/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,19.08,-19.08,0.00,Branded,All Branded,ISLAND PARK,NY
2024-41551-00,KING KULLEN,GROCERY,8/7/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,9.22,-9.22,0.00,Branded,All Branded,HEWLETT,NY
2024-41550-00,KING KULLEN,GROCERY,8/7/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,14.65,-14.65,0.00,Branded,All Branded,ROCKVILLE CENTRE,NY
2024-41549-00,KING KULLEN,GROCERY,8/7/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,76.24,-76.24,0.00,Branded,All Branded,VALLEY STREAM,NY
2024-41548-00,KING KULLEN,GROCERY,8/7/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,0.68,-0.68,0.00,Branded,All Branded,VALLEY STREAM,NY
2024-41547-00,KING KULLEN,GROCERY,8/5/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,117.28,-117.28,0.00,Branded,All Branded,WADING RIVER,NY
2024-41546-00,KING KULLEN,GROCERY,8/5/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,39.07,-39.07,0.00,Branded,All Branded,HAMPTON BAYS,NY
